INFO 2025-03-25 05:44:51,373 middleware Response 200
INFO 2025-03-25 05:44:52,053 middleware Request GET /api/v1/quizzes/quizzes/1/statistics/ from 127.0.0.1
INFO 2025-03-25 05:44:52,056 middleware Response 200
INFO 2025-03-25 05:46:28,359 middleware Request POST /api/v1/quizzes/quizzes/1/start/ from 127.0.0.1
INFO 2025-03-25 05:46:28,364 middleware Response 200
INFO 2025-03-25 05:46:28,809 middleware Request POST /api/v1/quizzes/quizzes/1/start/ from 127.0.0.1
INFO 2025-03-25 05:46:28,813 middleware Response 200
INFO 2025-03-25 05:46:28,814 middleware Request POST /api/v1/quizzes/quizzes/1/submit/ from 127.0.0.1
INFO 2025-03-25 05:46:28,825 middleware Response 200
INFO 2025-03-25 05:46:29,276 middleware Request GET /api/v1/quizzes/quizzes/1/statistics/ from 127.0.0.1
INFO 2025-03-25 05:46:29,278 middleware Response 200
INFO 2025-03-25 05:47:35,793 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:47:43,617 middleware Request GET / from 127.0.0.1
INFO 2025-03-25 05:47:43,632 middleware Response 404
WARNING 2025-03-25 05:47:43,632 log Not Found: /
INFO 2025-03-25 05:47:51,900 middleware Request GET /admin/ from 127.0.0.1
WARNING 2025-03-25 05:47:51,903 base Session data corrupted
INFO 2025-03-25 05:47:51,929 middleware Response 302
INFO 2025-03-25 05:47:51,933 middleware Request GET /admin/login/ from 127.0.0.1
WARNING 2025-03-25 05:47:51,935 base Session data corrupted
INFO 2025-03-25 05:47:51,963 middleware Response 200
INFO 2025-03-25 05:48:04,029 middleware Request POST /admin/login/ from 127.0.0.1
WARNING 2025-03-25 05:48:04,032 base Session data corrupted
INFO 2025-03-25 05:48:04,559 middleware Response 302
INFO 2025-03-25 05:48:04,569 middleware Request GET /admin/ from 127.0.0.1
INFO 2025-03-25 05:48:04,590 middleware Response 200
INFO 2025-03-25 05:48:07,154 middleware Request GET /admin/courses/course/ from 127.0.0.1
INFO 2025-03-25 05:48:07,180 middleware Response 200
INFO 2025-03-25 05:48:07,217 middleware Request GET /admin/jsi18n/ from 127.0.0.1
INFO 2025-03-25 05:48:07,222 middleware Response 200
INFO 2025-03-25 05:54:01,683 middleware Request POST /api/v1/quizzes/quizzes/1/start/ from 127.0.0.1
INFO 2025-03-25 05:54:01,688 middleware Response 200
INFO 2025-03-25 05:54:02,253 middleware Request POST /api/v1/quizzes/quizzes/1/start/ from 127.0.0.1
INFO 2025-03-25 05:54:02,258 middleware Response 200
INFO 2025-03-25 05:54:02,259 middleware Request POST /api/v1/quizzes/quizzes/1/submit/ from 127.0.0.1
INFO 2025-03-25 05:54:02,274 middleware Response 200
INFO 2025-03-25 05:54:02,871 middleware Request GET /api/v1/quizzes/quizzes/1/statistics/ from 127.0.0.1
INFO 2025-03-25 05:54:02,879 middleware Response 200
INFO 2025-03-25 05:54:43,286 autoreload Watching for file changes with StatReloader
